[2026-03-22 00:40:36,232][__main__][INFO] - Found GPU with device_name NVIDIA L40S. Will run RFdiffusion on NVIDIA L40S
[2026-03-22 00:40:36,233][rfdiffusion.inference.model_runners][INFO] - Reading checkpoint from /workspace/RFdiffusion/rfdiffusion/inference/../../models/Base_ckpt.pt
[2026-03-22 00:40:43,230][rfdiffusion.inference.model_runners][INFO] - Loading checkpoint.
[2026-03-22 00:40:43,342][rfdiffusion.diffusion][INFO] - Using cached IGSO3.
[2026-03-22 00:41:29,556][rfdiffusion.inference.model_runners][INFO] - Timestep 36, input to next step: --------------------------------------------------
[2026-03-22 00:41:29,937][rfdiffusion.inference.model_runners][INFO] - Timestep 35, input to next step: --------------------------------------------------
[2026-03-22 00:41:30,319][rfdiffusion.inference.model_runners][INFO] - Timestep 34, input to next step: --------------------------------------------------
[2026-03-22 00:41:30,701][rfdiffusion.inference.model_runners][INFO] - Timestep 33, input to next step: --------------------------------------------------
[2026-03-22 00:41:31,084][rfdiffusion.inference.model_runners][INFO] - Timestep 32, input to next step: --------------------------------------------------
[2026-03-22 00:41:31,472][rfdiffusion.inference.model_runners][INFO] - Timestep 31, input to next step: --------------------------------------------------
[2026-03-22 00:41:31,857][rfdiffusion.inference.model_runners][INFO] - Timestep 30, input to next step: --------------------------------------------------
[2026-03-22 00:41:32,244][rfdiffusion.inference.model_runners][INFO] - Timestep 29, input to next step: --------------------------------------------------
[2026-03-22 00:41:32,625][rfdiffusion.inference.model_runners][INFO] - Timestep 28, input to next step: --------------------------------------------------
[2026-03-22 00:41:33,018][rfdiffusion.inference.model_runners][INFO] - Timestep 27, input to next step: --------------------------------------------------
[2026-03-22 00:41:33,422][rfdiffusion.inference.model_runners][INFO] - Timestep 26, input to next step: --------------------------------------------------
[2026-03-22 00:41:33,814][rfdiffusion.inference.model_runners][INFO] - Timestep 25, input to next step: --------------------------------------------------
[2026-03-22 00:41:34,204][rfdiffusion.inference.model_runners][INFO] - Timestep 24, input to next step: --------------------------------------------------
[2026-03-22 00:41:34,592][rfdiffusion.inference.model_runners][INFO] - Timestep 23, input to next step: --------------------------------------------------
[2026-03-22 00:41:34,980][rfdiffusion.inference.model_runners][INFO] - Timestep 22, input to next step: --------------------------------------------------
[2026-03-22 00:41:35,369][rfdiffusion.inference.model_runners][INFO] - Timestep 21, input to next step: --------------------------------------------------
[2026-03-22 00:41:35,759][rfdiffusion.inference.model_runners][INFO] - Timestep 20, input to next step: --------------------------------------------------
[2026-03-22 00:41:36,147][rfdiffusion.inference.model_runners][INFO] - Timestep 19, input to next step: --------------------------------------------------
[2026-03-22 00:41:36,533][rfdiffusion.inference.model_runners][INFO] - Timestep 18, input to next step: --------------------------------------------------
[2026-03-22 00:41:36,918][rfdiffusion.inference.model_runners][INFO] - Timestep 17, input to next step: --------------------------------------------------
[2026-03-22 00:41:37,304][rfdiffusion.inference.model_runners][INFO] - Timestep 16, input to next step: --------------------------------------------------
[2026-03-22 00:41:37,690][rfdiffusion.inference.model_runners][INFO] - Timestep 15, input to next step: --------------------------------------------------
[2026-03-22 00:41:38,076][rfdiffusion.inference.model_runners][INFO] - Timestep 14, input to next step: --------------------------------------------------
[2026-03-22 00:41:38,466][rfdiffusion.inference.model_runners][INFO] - Timestep 13, input to next step: --------------------------------------------------
[2026-03-22 00:41:38,853][rfdiffusion.inference.model_runners][INFO] - Timestep 12, input to next step: --------------------------------------------------
